ServiceStationName,Address,Suburb,Postcode,Brand,FuelCode,PriceUpdatedDate,Price
Shell Croydon,"418-424 LIVERPOOL RD, CROYDON NSW 2132",CROYDON,2132,Shell,P98,2025-01-01 02:17:21,205.9
Ampol Foodary Coogee,"146-148 COOGEE BAY RD, COOGEE NSW 2034",COOGEE,2034,Ampol,P98,2025-01-01 02:18:03,211.9
Ampol Foodary Coogee,"146-148 COOGEE BAY RD, COOGEE NSW 2034",COOGEE,2034,Ampol,U91,2025-01-01 02:18:03,187.9
Ampol Foodary Coogee,"146-148 COOGEE BAY RD, COOGEE NSW 2034",COOGEE,2034,Ampol,E10,2025-01-01 02:18:03,185.9
Ampol Foodary Coogee,"146-148 COOGEE BAY RD, COOGEE NSW 2034",COOGEE,2034,Ampol,P95,2025-01-01 02:18:04,203.9
Ampol Foodary Dubbo,"Cobra Street Cnr Brisbane Street, DUBBO NSW 2830",DUBBO,2830,Ampol,PDL,2025-01-01 02:18:04,193.9
Ampol Foodary Pheasants Nest Southbound,"Lot 12, South Western Freeway, Pheasants Nest NSW 2574",Pheasants Nest,2574,Ampol,P98,2025-01-01 02:18:05,210.9
Ampol Foodary Pheasants Nest Southbound,"Lot 12, South Western Freeway, Pheasants Nest NSW 2574",Pheasants Nest,2574,Ampol,U91,2025-01-01 02:18:05,185.9
Ampol Foodary Pheasants Nest Southbound,"Lot 12, South Western Freeway, Pheasants Nest NSW 2574",Pheasants Nest,2574,Ampol,E10,2025-01-01 02:18:05,183.9
Ampol Foodary Pheasants Nest Southbound,"Lot 12, South Western Freeway, Pheasants Nest NSW 2574",Pheasants Nest,2574,Ampol,P95,2025-01-01 02:18:05,202.9
Ampol Foodary Pheasants Nest Northbound,"Lot no 13 South Western Freeway, Pheasants Nest NSW 2574",Pheasants Nest,2574,Ampol,P98,2025-01-01 02:32:03,210.9
Ampol Foodary Pheasants Nest Northbound,"Lot no 13 South Western Freeway, Pheasants Nest NSW 2574",Pheasants Nest,2574,Ampol,U91,2025-01-01 02:32:04,185.9
Ampol Foodary Pheasants Nest Northbound,"Lot no 13 South Western Freeway, Pheasants Nest NSW 2574",Pheasants Nest,2574,Ampol,E10,2025-01-01 02:32:04,183.9
Ampol Foodary Pheasants Nest Northbound,"Lot no 13 South Western Freeway, Pheasants Nest NSW 2574",Pheasants Nest,2574,Ampol,P95,2025-01-01 02:32:05,202.9
Metro Peakhurst,"114 Boundary Road, PEAKHURST NSW 2210",PEAKHURST,2210,Metro Fuel,E10,2025-01-01 02:40:12,169.9
Metro Peakhurst,"114 Boundary Road, PEAKHURST NSW 2210",PEAKHURST,2210,Metro Fuel,PDL,2025-01-01 02:40:12,165.7
Ampol Wallendbeen,"27 YOUNG ST, WALLENDBEEN NSW 2588",WALLENDBEEN,2588,Ampol,P98,2025-01-01 03:30:07,199.9
Ampol Wallendbeen,"27 YOUNG ST, WALLENDBEEN NSW 2588",WALLENDBEEN,2588,Ampol,DL,2025-01-01 03:30:07,182.9
Ampol Wallendbeen,"27 YOUNG ST, WALLENDBEEN NSW 2588",WALLENDBEEN,2588,Ampol,PDL,2025-01-01 03:30:07,184.9
